"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Liefmans Fruitesse";"5.00";"23.75";"19.64";"4.11";"21.00";"0.00"
"Bier";"Warsteiner";"14.00";"52.50";"43.40";"9.10";"21.00";"0.00"
"Broodjes";"Broodje Bal (in jus)";"13.00";"110.50";"101.40";"9.10";"9.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"16.00";"132.00";"121.12";"10.88";"9.00";"0.00"
"Broodjes";"Croissant (belegd)";"14.00";"87.50";"80.22";"7.28";"9.00";"0.00"
"Broodjes";"Oerbrood Kroket";"44.00";"261.80";"240.24";"21.56";"9.00";"0.00"
"Broodjes";"Pretzel Mortadella";"16.00";"136.00";"124.80";"11.20";"9.00";"0.00"
"Gebak";"Aardbei plaatgebak";"22.00";"121.00";"111.10";"9.90";"9.00";"0.00"
"Gebak";"American Cookie (voorverpakt)";"6.00";"17.70";"16.26";"1.44";"9.00";"0.00"
"Gebak";"Appelflap";"10.00";"32.50";"29.80";"2.70";"9.00";"0.00"
"Gebak";"Appeltaart";"41.00";"174.25";"159.89";"14.36";"9.00";"0.00"
"Gebak";"Carrot Cake";"6.00";"23.70";"21.72";"1.98";"9.00";"0.00"
"Gebak";"Gevulde Koek";"5.00";"15.50";"14.20";"1.30";"9.00";"0.00"
"Gebak";"Meringue  (glutenarm)";"33.00";"173.25";"159.06";"14.19";"9.00";"0.00"
"Gebak";"Plaatgebak  (vegan,  lactosearm)";"2.00";"9.50";"8.72";"0.78";"9.00";"0.00"
"Gebak";"Slagroom";"15.00";"7.50";"6.90";"0.60";"9.00";"0.00"
"Ijs";"Calippo cola";"2.00";"3.90";"3.58";"0.32";"9.00";"0.00"
"Ijs";"Cornetto";"1.00";"2.50";"2.29";"0.21";"9.00";"0.00"
"Ijs";"Dracula";"4.00";"7.00";"6.44";"0.56";"9.00";"0.00"
"Ijs";"Magnum Classic";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Ijs";"Magnum White";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Ijs";"Solero";"1.00";"2.95";"2.71";"0.24";"9.00";"0.00"
"Ijs";"Twister Marshmallow";"1.00";"1.75";"1.61";"0.14";"9.00";"0.00"
"Kleine trek";"Kaasswirl";"4.00";"15.80";"14.48";"1.32";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"35.00";"138.25";"126.70";"11.55";"9.00";"0.00"
"Koude Dranken";"Bitter Lemon";"16.00";"52.00";"47.68";"4.32";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"29.00";"97.15";"89.03";"8.12";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Rood";"10.00";"32.50";"29.80";"2.70";"9.00";"0.00"
"Koude Dranken";"Chocomel";"4.00";"13.00";"11.92";"1.08";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"15.00";"48.75";"44.70";"4.05";"9.00";"0.00"
"Koude Dranken";"Coca Cola Zero";"9.00";"29.25";"26.82";"2.43";"9.00";"0.00"
"Koude Dranken";"Fanta";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Fristi";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"14.00";"45.50";"41.72";"3.78";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Sparkling Lemon";"6.00";"19.50";"17.88";"1.62";"9.00";"0.00"
"Koude Dranken";"Rivella ";"12.00";"39.00";"35.76";"3.24";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel";"13.00";"45.50";"41.73";"3.77";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Cranberry";"10.00";"35.00";"32.10";"2.90";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Kersen";"14.00";"49.00";"44.94";"4.06";"9.00";"0.00"
"Koude Dranken";"Schulp | Sinaasappel";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Koude Dranken";"Tonic";"3.00";"9.75";"8.94";"0.81";"9.00";"0.00"
"Non-alcoholische Dranken";"Leffe Blond 0.0 ";"4.00";"19.00";"17.44";"1.56";"9.00";"0.00"
"Non-alcoholische Dranken";"Warsteiner 0.0";"4.00";"15.00";"13.76";"1.24";"9.00";"0.00"
"Salades";"Salade Parelcouscous";"4.00";"47.80";"43.84";"3.96";"9.00";"0.00"
"Soepen";"Seizoenssoep";"9.00";"67.50";"61.92";"5.58";"9.00";"0.00"
"Soepen";"Tomatensoep";"8.00";"55.60";"51.04";"4.56";"9.00";"0.00"
"Warme Dranken";"Cappuccino";"68.00";"238.00";"218.28";"19.72";"9.00";"0.00"
"Warme Dranken";"Dubbele Espresso ";"3.00";"13.50";"12.39";"1.11";"9.00";"0.00"
"Warme Dranken";"Koffie";"74.00";"240.50";"220.52";"19.98";"9.00";"0.00"
"Warme Dranken";"Koffie Verkeerd";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"14.00";"54.18";"49.72";"4.46";"9.00";"5.32"
"Warme Dranken";"Thee";"27.00";"86.13";"78.98";"7.15";"9.00";"1.62"
"Warme Dranken";"Thee | Verse munt";"6.00";"23.70";"21.72";"1.98";"9.00";"0.00"
"Warme Dranken";"Warme chocomel";"4.00";"12.19";"11.18";"1.01";"9.00";"0.81"
"Wraps";"Wrap Zalm";"37.00";"268.25";"246.05";"22.20";"9.00";"0.00"
