"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Leffe Blond";"2.00";"9.50";"7.86";"1.64";"21.00";"0.00"
"Bier";"Liefmans Fruitesse";"1.00";"4.75";"3.93";"0.82";"21.00";"0.00"
"Bier";"Warsteiner";"1.00";"3.75";"3.10";"0.65";"21.00";"0.00"
"Broodjes";"Broodje Bal (in jus)";"4.00";"34.00";"31.20";"2.80";"9.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"8.00";"66.00";"60.56";"5.44";"9.00";"0.00"
"Broodjes";"Croissant (belegd)";"9.00";"56.25";"51.57";"4.68";"9.00";"0.00"
"Broodjes";"Croissant los";"1.00";"2.25";"2.06";"0.19";"9.00";"0.00"
"Broodjes";"Oerbrood Kroket";"14.00";"83.30";"76.44";"6.86";"9.00";"0.00"
"Broodjes";"Pretzel Mortadella";"5.00";"42.50";"39.00";"3.50";"9.00";"0.00"
"Broodjes";"Tafelbroodje";"2.00";"1.90";"1.74";"0.16";"9.00";"0.00"
"Gebak";"Aardbei plaatgebak";"24.00";"132.00";"121.20";"10.80";"9.00";"0.00"
"Gebak";"American Cookie (voorverpakt)";"4.00";"11.80";"10.84";"0.96";"9.00";"0.00"
"Gebak";"Appelflap";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Gebak";"Appeltaart";"15.00";"63.75";"58.50";"5.25";"9.00";"0.00"
"Gebak";"Carrot Cake";"6.00";"23.70";"21.72";"1.98";"9.00";"0.00"
"Gebak";"Gevulde Koek";"1.00";"3.10";"2.84";"0.26";"9.00";"0.00"
"Gebak";"Meringue  (glutenarm)";"15.00";"78.75";"72.30";"6.45";"9.00";"0.00"
"Gebak";"Slagroom";"4.00";"2.00";"1.84";"0.16";"9.00";"0.00"
"Ijs";"Cornetto";"4.00";"10.00";"9.16";"0.84";"9.00";"0.00"
"Ijs";"Magnum Classic";"1.00";"3.50";"3.21";"0.29";"9.00";"0.00"
"Kleine trek";"Kaasswirl";"2.00";"7.90";"7.24";"0.66";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"15.00";"59.25";"54.30";"4.95";"9.00";"0.00"
"Koude Dranken";"Bitter Lemon";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"15.00";"50.25";"46.05";"4.20";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Rood";"14.00";"45.50";"41.72";"3.78";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"12.00";"39.00";"35.76";"3.24";"9.00";"0.00"
"Koude Dranken";"Coca Cola Zero";"9.00";"29.25";"26.82";"2.43";"9.00";"0.00"
"Koude Dranken";"Fanta";"4.00";"13.00";"11.92";"1.08";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"13.00";"42.25";"38.74";"3.51";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Sparkling Lemon";"4.00";"13.00";"11.92";"1.08";"9.00";"0.00"
"Koude Dranken";"Rivella ";"6.00";"19.50";"17.88";"1.62";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel";"6.00";"21.00";"19.26";"1.74";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Cranberry";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Kersen";"5.00";"17.50";"16.05";"1.45";"9.00";"0.00"
"Koude Dranken";"Schulp | Sinaasappel";"3.00";"10.50";"9.63";"0.87";"9.00";"0.00"
"Koude Dranken";"Tonic";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Non-alcoholische Dranken";"Leffe Blond 0.0 ";"1.00";"4.75";"4.36";"0.39";"9.00";"0.00"
"Non-alcoholische Dranken";"Warsteiner 0.0";"2.00";"7.50";"6.88";"0.62";"9.00";"0.00"
"Non-alcoholische Dranken";"Warsteiner Radler 0.0 ";"2.00";"7.50";"6.88";"0.62";"9.00";"0.00"
"Salades";"Salade Parelcouscous";"11.00";"131.45";"120.56";"10.89";"9.00";"0.00"
"Snacks";"Kroket";"6.00";"22.80";"20.94";"1.86";"9.00";"0.00"
"Snacks";"Mosterd zakje";"2.00";"1.00";"0.92";"0.08";"9.00";"0.00"
"Soepen";"Seizoenssoep";"4.00";"30.00";"27.52";"2.48";"9.00";"0.00"
"Soepen";"Tomatensoep";"2.00";"13.90";"12.76";"1.14";"9.00";"0.00"
"Warme Dranken";"Cappuccino";"48.00";"168.00";"154.08";"13.92";"9.00";"0.00"
"Warme Dranken";"Espresso";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Warme Dranken";"Koffie";"42.00";"136.50";"125.16";"11.34";"9.00";"0.00"
"Warme Dranken";"Koffie Verkeerd";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"5.00";"21.25";"19.50";"1.75";"9.00";"0.00"
"Warme Dranken";"Thee";"6.00";"19.50";"17.88";"1.62";"9.00";"0.00"
"Warme Dranken";"Thee | Verse gember";"2.00";"7.90";"7.24";"0.66";"9.00";"0.00"
"Warme Dranken";"Thee | Verse munt";"9.00";"35.55";"32.58";"2.97";"9.00";"0.00"
"Wijn";"Witte Wijn - Mr Paul | Sauvignon Blanc";"1.00";"6.95";"5.74";"1.21";"21.00";"0.00"
"Wraps";"Wrap Zalm";"28.00";"203.00";"186.20";"16.80";"9.00";"0.00"
