"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Leffe Blond";"3.00";"12.35";"10.21";"2.14";"21.00";"1.90"
"Bier";"Warsteiner";"2.00";"7.50";"6.20";"1.30";"21.00";"0.00"
"Broodjes";"Broodje Bal (in jus)";"5.00";"42.50";"39.00";"3.50";"9.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"11.00";"90.75";"83.27";"7.48";"9.00";"0.00"
"Broodjes";"Croissant (belegd)";"9.00";"56.25";"51.57";"4.68";"9.00";"0.00"
"Broodjes";"Oerbrood Kroket";"21.00";"123.76";"113.57";"10.19";"9.00";"1.19"
"Broodjes";"Pretzel Mortadella";"5.00";"40.38";"37.05";"3.33";"9.00";"2.12"
"Gebak";"Aardbei plaatgebak";"10.00";"55.00";"50.50";"4.50";"9.00";"0.00"
"Gebak";"American Cookie (voorverpakt)";"6.00";"17.70";"16.26";"1.44";"9.00";"0.00"
"Gebak";"Appelflap";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Gebak";"Appeltaart";"12.00";"51.00";"46.80";"4.20";"9.00";"0.00"
"Gebak";"Carrot Cake";"11.00";"43.45";"39.82";"3.63";"9.00";"0.00"
"Gebak";"Gevulde Koek";"4.00";"11.78";"10.80";"0.98";"9.00";"0.62"
"Gebak";"Meringue  (glutenarm)";"27.00";"136.50";"125.29";"11.21";"9.00";"5.25"
"Gebak";"Plaatgebak  (vegan,  lactosearm)";"5.00";"23.75";"21.80";"1.95";"9.00";"0.00"
"Gebak";"Slagroom";"6.00";"3.00";"2.76";"0.24";"9.00";"0.00"
"Ijs";"Cornetto";"2.00";"5.00";"4.58";"0.42";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"23.00";"89.27";"81.82";"7.45";"9.00";"1.58"
"Koude Dranken";"Bitter Lemon";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"9.00";"29.48";"27.02";"2.46";"9.00";"0.67"
"Koude Dranken";"Chaudfontaine Rood";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Chocomel";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"4.00";"11.70";"10.74";"0.96";"9.00";"1.30"
"Koude Dranken";"Coca Cola Zero";"7.00";"22.75";"20.86";"1.89";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Sparkling Lemon";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Rivella ";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel";"4.00";"12.42";"11.39";"1.03";"9.00";"1.58"
"Koude Dranken";"Schulp | Appel/Cranberry";"3.00";"10.50";"9.63";"0.87";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Kersen";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Koude Dranken";"Schulp | Sinaasappel";"1.00";"3.50";"3.21";"0.29";"9.00";"0.00"
"Koude Dranken";"Tonic";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Non-alcoholische Dranken";"Leffe Blond 0.0 ";"3.00";"13.30";"12.21";"1.09";"9.00";"0.95"
"Non-alcoholische Dranken";"Warsteiner 0.0";"5.00";"17.25";"15.82";"1.43";"9.00";"1.50"
"Non-alcoholische Dranken";"Warsteiner Radler 0.0 ";"1.00";"3.75";"3.44";"0.31";"9.00";"0.00"
"Salades";"Salade Parelcouscous";"6.00";"71.70";"65.76";"5.94";"9.00";"0.00"
"Snacks";"Kroket";"4.00";"12.16";"11.16";"1.00";"9.00";"3.04"
"Snoep";"Chips";"2.00";"3.51";"3.22";"0.29";"9.00";"0.39"
"Soepen";"Seizoenssoep";"10.00";"75.00";"68.80";"6.20";"9.00";"0.00"
"Soepen";"Tomatensoep";"11.00";"75.06";"68.90";"6.16";"9.00";"1.39"
"Warme Dranken";"Cappuccino";"51.00";"173.60";"159.23";"14.37";"9.00";"4.90"
"Warme Dranken";"Dubbele Espresso ";"2.00";"8.10";"7.43";"0.67";"9.00";"0.90"
"Warme Dranken";"Koffie";"61.00";"192.40";"176.47";"15.93";"9.00";"5.85"
"Warme Dranken";"Koffie Verkeerd";"5.00";"17.50";"16.05";"1.45";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"19.00";"79.05";"72.54";"6.51";"9.00";"1.70"
"Warme Dranken";"Thee";"15.00";"48.75";"44.70";"4.05";"9.00";"0.00"
"Warme Dranken";"Thee | Verse gember";"6.00";"23.70";"21.72";"1.98";"9.00";"0.00"
"Warme Dranken";"Thee | Verse munt";"9.00";"34.76";"31.86";"2.90";"9.00";"0.79"
"Warme Dranken";"Warme chocomel";"9.00";"29.25";"26.82";"2.43";"9.00";"0.00"
"Wijn";"Rosé Wijn - Mr Paul | Cinsualt Rosé";"1.00";"5.56";"4.60";"0.96";"21.00";"1.39"
"Wijn";"Witte Wijn - Mr Paul | Sauvignon Blanc";"2.00";"13.90";"11.48";"2.42";"21.00";"0.00"
"Wraps";"Wrap Zalm";"15.00";"108.75";"99.75";"9.00";"9.00";"0.00"
