"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Leffe Blond";"2.00";"9.50";"7.86";"1.64";"21.00";"0.00"
"Bier";"Warsteiner";"6.00";"22.50";"18.60";"3.90";"21.00";"0.00"
"Broodjes";"Broodje Bal (in jus)";"2.00";"17.00";"15.60";"1.40";"9.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"11.00";"90.75";"83.27";"7.48";"9.00";"0.00"
"Broodjes";"Croissant (belegd)";"9.00";"56.25";"51.57";"4.68";"9.00";"0.00"
"Broodjes";"Oerbrood Kroket";"15.00";"89.25";"81.90";"7.35";"9.00";"0.00"
"Broodjes";"Pretzel Mortadella";"1.00";"8.50";"7.80";"0.70";"9.00";"0.00"
"Gebak";"American Cookie (voorverpakt)";"3.00";"8.85";"8.13";"0.72";"9.00";"0.00"
"Gebak";"Appeltaart";"16.00";"68.00";"62.40";"5.60";"9.00";"0.00"
"Gebak";"Koffie met Appeltaart";"9.00";"58.50";"53.64";"4.86";"9.00";"0.00"
"Gebak";"Slagroom";"15.00";"7.50";"6.90";"0.60";"9.00";"0.00"
"Ijs";"Cornetto";"2.00";"5.00";"4.58";"0.42";"9.00";"0.00"
"Ijs";"Magnum Classic";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Ijs";"Magnum White";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Ijs";"Raket";"3.00";"5.25";"4.83";"0.42";"9.00";"0.00"
"Ijs";"Solero";"3.00";"8.85";"8.13";"0.72";"9.00";"0.00"
"Ijs";"Twister Marshmallow";"2.00";"3.50";"3.22";"0.28";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"16.00";"63.20";"57.92";"5.28";"9.00";"0.00"
"Koude Dranken";"Bitter Lemon";"7.00";"22.75";"20.86";"1.89";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"11.00";"36.85";"33.77";"3.08";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Rood";"12.00";"39.00";"35.76";"3.24";"9.00";"0.00"
"Koude Dranken";"Chocomel";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Coca Cola Zero";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Fanta";"6.00";"19.50";"17.88";"1.62";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"8.00";"26.00";"23.84";"2.16";"9.00";"0.00"
"Koude Dranken";"Rivella ";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel";"3.00";"10.50";"9.63";"0.87";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Cranberry";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Kersen";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Koude Dranken";"Schulp | Sinaasappel";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Koude Dranken";"Tonic";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Non-alcoholische Dranken";"Leffe Blond 0.0 ";"3.00";"14.25";"13.08";"1.17";"9.00";"0.00"
"Non-alcoholische Dranken";"Warsteiner 0.0";"3.00";"11.25";"10.32";"0.93";"9.00";"0.00"
"Non-alcoholische Dranken";"Warsteiner Radler 0.0 ";"6.00";"22.50";"20.64";"1.86";"9.00";"0.00"
"Salades";"Salade Parelcouscous";"6.00";"71.70";"65.76";"5.94";"9.00";"0.00"
"Snacks";"Ketchup zakje";"2.00";"1.50";"1.38";"0.12";"9.00";"0.00"
"Soepen";"Seizoenssoep";"5.00";"37.50";"34.40";"3.10";"9.00";"0.00"
"Soepen";"Tomatensoep";"5.00";"34.75";"31.90";"2.85";"9.00";"0.00"
"Warme Dranken";"Cappuccino";"19.00";"66.50";"60.99";"5.51";"9.00";"0.00"
"Warme Dranken";"Espresso";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Warme Dranken";"Koffie";"30.00";"97.50";"89.40";"8.10";"9.00";"0.00"
"Warme Dranken";"Koffie Verkeerd";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"7.00";"29.75";"27.30";"2.45";"9.00";"0.00"
"Warme Dranken";"Thee";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Warme Dranken";"Thee | Verse munt";"1.00";"3.95";"3.62";"0.33";"9.00";"0.00"
"Warme Dranken";"Warme chocomel";"4.00";"13.00";"11.92";"1.08";"9.00";"0.00"
"Wijn";"Rosé Wijn - Mr Paul | Cinsualt Rosé";"1.00";"6.95";"5.74";"1.21";"21.00";"0.00"
"Wijn";"Witte Wijn - Mr Paul | Sauvignon Blanc";"1.00";"6.95";"5.74";"1.21";"21.00";"0.00"
"Wraps";"Wrap Zalm";"10.00";"72.50";"66.50";"6.00";"9.00";"0.00"
